Title,Intervention,Health condition,,,,,,
Clinical presentation of pertussis in unvaccinated and vaccinated children in the first six years of life,Vaccination,Pertussis,,,,,,
[Clarithromycin versus penicillin in the treatment of group A streptococcal pharyngitis in children],Antibiotic vs antibiotic,Pharyngitis,,,,,,
Antibody and cell-mediated immune responses to booster immunization with a new acellular pertussis vaccine in school children,Vaccination,Pertussis,,,,,,
"Vaccination of immunocompetent elderly subjects with a live attenuated Oka strain of varicella zoster virus: a randomized, controlled, dose-response trial",Vaccination,Varicella Zoster,,,,,,
"Evaluation of live, cold-adapted influenza A and B virus vaccines in elderly and high-risk subjects",Vaccination,Influenza,,,,,,
Evaluation of a recombinant hemagglutinin expressed in insect cells as an influenza vaccine in young and elderly adults,Vaccination,Influenza,,,,,,
"Evaluation of cold-adapted, reassortant influenza B virus vaccines in elderly and chronically ill adults",Vaccination,Influenza,,,,,,
Efficacy and safety of the oral neuraminidase inhibitor oseltamivir in treating acute influenza: a randomized controlled trial. US Oral Neuraminidase Study Group. [see comments.],Antiviral,Influenza,,,,,,
Evaluation of a single dose of half strength inactivated influenza vaccine in healthy adults,Vaccination,Influenza,,,,,,
"Evaluation of trivalent, live, cold-adapted (CAIV-T) and inactivated (TIV) influenza vaccines in prevention of virus infection and illness following challenge of adults with wild-type influenza A (H1N1), A (H3N2), and B viruses",Vaccination,Influenza,,,,,,
Protective efficacy of combined live intranasal and inactivated influenza A virus vaccines in the elderly,Vaccination,Influenza,,,,,,
Intranasal administration of a proteosome-influenza vaccine is well-tolerated and induces serum and nasal secretion influenza antibodies in healthy human subjects,Vaccination,Influenza,,,,,,
Management of bronchiolitis without Antibiotic: a multicentre randomized control trial in Bangladesh,Antibiotic,Bronchiolitis,,,,,,
Antibody responses and symptoms after DTP and either tetanus ordiptheria Haemophilus influenzae type B conjugate vaccines given for primary immunisation by separate or mixed injection,Vaccination,tetanus,,,,,,
Antibody responses and symptoms after DTP and either tetanus ordiptheria Haemophilus influenzae type B conjugate vaccines given for primary immunisation by separate or mixed injection,Vaccination,pertussis,,,,,,
Antibody responses and symptoms after DTP and either tetanus ordiptheria Haemophilus influenzae type B conjugate vaccines given for primary immunisation by separate or mixed injection,Vaccination,HiB,,,,,,
Antibody responses and symptoms after DTP and either tetanus ordiptheria Haemophilus influenzae type B conjugate vaccines given for primary immunisation by separate or mixed injection,Vaccination,diptheria,,,,,,
Safety and immunogenicity of an inactivated subvirion influenza A (H5N1) vaccine,Vaccination,Influenza,,,,,,
Dose-related safety and immunogenicity of a trivalent baculovirus-expressed influenza-virus hemagglutinin vaccine in elderly adults,Vaccination,Influenza,,,,,,
Safety and immunogenicity of a baculovirus-expressed hemagglutinin influenza vaccine: a randomized controlled trial,Vaccination,Influenza,,,,,,
Comparative study of three different dosing regimens of cefotaxime for treatment of gram-negative bacteremia,Antibiotic,Gram negative bacteremia,,,,,,
Randomized study of intravenous/oral ciprofloxacin versus ceftazidime in the treatment of hospital and nursing home patients with lower respiratory tract infections,Antibiotic vs antibiotic,LRTI,,,,,,
"Prevention of Recurrent Upper Respiratory Tract Infections in a Community of Cloistered Nuns Using a New Immunostimulating Bacterial Lysate: A randomized, double-blind clinical trial",Immunomodulator,URTI,,,,,,
Immunogenicity and safety of respiratory syncytial virus subunit vaccine in seropositive children 18-36 months old,Vaccination,RSV,,,,,,
Efficacy of a monocomponent pertussis toxoid vaccine after household exposure to pertussis. [see comments.],Vaccination,Pertussis,,,,,,
A placebo-controlled trial of a pertussis-toxoid vaccine,Vaccination,Pertussis,,,,,,
Reduced immunogenicity ofdiptheria and tetanus toxoids when combined with pertussis toxoid,Vaccination,tetanus,,,,,,
Reduced immunogenicity ofdiptheria and tetanus toxoids when combined with pertussis toxoid,Vaccination,diptheria,,,,,,
Efficacy and tolerability of azithromycin versus amoxicillin/clavulanic acid in acute purulent exacerbation of chronic bronchitis,Antibiotic vs antibiotic,bronchitis,,,,,,
Immunization of children with pertussis toxoid decreases spread of pertussis within the family,Vaccination,Pertussis,,,,,,
Serum IgG antibody responses to pertussis toxin and filamentous hemagglutinin in nonvaccinated and vaccinated children and adults with pertussis. [see comments.],Vaccination,Pertussis,,,,,,
Risk of acute stress bleeding and nosocomial pneumonia in ventilated intensive care unit patients: sucralfate versus antacids,Antacid,pneumonia,,,,,,
Risk of acute stress bleeding and nosocomial pneumonia in ventilated intensive care unit patients: sucralfate versus antacids,Sucralfate,pneumonia,,,,,,
Prevention of stress bleeding with ranitidine or pirenzepine and the risk of pneumonia,M1 antagonist,pneumonia,,,,,,
Prevention of stress bleeding with ranitidine or pirenzepine and the risk of pneumonia,H2 antagonist,Pneumonia,,,,,,
Prophylaxis of aspiration pneumonia by Cimetidine,H2 antagonist,Pneumonia,,,,,,
[Stress bleeding and postoperative pneumonias in intensive care patients on ranitidine or pirenzepine]. [German],M1 antagonist,pneumonia,,,,,,
[Stress bleeding and postoperative pneumonias in intensive care patients on ranitidine or pirenzepine]. [German],H2 antagonist,Pneumonia,,,,,,
Immunogenicity and safety of standard-titer AIK-C measles vaccine in nine-month-old infants,Vaccination,Measles,,,,,,
Comparison of once daily cefpodoxime proxetil suspension and thrice daily cefaclor suspension in the treatment of acute otitis media in children,Antibiotic vs antibiotic,OM,,,,,,
Early appearance of bactericidal antibodies after polysaccharide challenge of toddlers primed with a group C meningococcal conjugate vaccine: what is its role in the maintenance of protection?,Vaccination,Meningococcal,,,,,,
Effectiveness of intramuscular penicillin versus oral amoxicillin in the early treatment of outpatient pediatric pneumonia,Antibiotic vs antibiotic,Pneumonia,,,,,,
Comparison of ceftriaxone and cefotaxime in severe pediatric bacterial infection: A multicentric study:,Antibiotic vs antibiotic,Meningitis,,,,,,
[Nosocomial pneumonia in continuous vs intermittent enteral nutrition]. [abstract],enteral Nutrition,HAP,,,,,,
[Nosocomial pneumonia in continuous vs intermittent enteral nutrition]. [abstract],enteral Nutrition,pneumonia,,,,,,
The treatment of acute transient cough: a placebo-controlled comparison of dextromethorphan and dextromethorphan-beta 2-sympathomimetic combination,bronchodilator,cough,,,,,,
The treatment of acute transient cough: a placebo-controlled comparison of dextromethorphan and dextromethorphan-beta 2-sympathomimetic combination,sympathomimetic,cough,,,,,,
The treatment of acute transient cough: a placebo-controlled comparison of dextromethorphan and dextromethorphan-beta 2-sympathomimetic combination,antitussive,Cough,,,,,,
[Antitussive drugs in the treatment of cough related to upper respiratory tract infections],antitussive,URTI,,,,,,
[Antitussive drugs in the treatment of cough related to upper respiratory tract infections],antitussive,Cough,,,,,,
Intrapleural urokinase in the management of parapneumonic empyema: a randomised controlled trial,Urokinase,Empyema,,,,,,
Impact on peritonsillar infections and microflora of phenoxymethylpenicillin alone versus phenoxymethylpenicillin in combination with metronidazole,Antibiotic vs antibiotic,Pharyngitis,,,,,,
Oral chloramphenicol in the treatment of Haemophilus influenzae meningitis,Antibiotic,Meningitis,,,,,,
"Effect of fermented milk containing the probiotic Lactobacillus casei DN-114001 on winter infections in free-living elderly subjects: a randomised, controlled pilot study",Probiotic,ARI,,further investigation was required,,,,
"Double-masked, randomized, parallel-group comparison of cefaclor AF and cefaclor in the treatment of acute bacterial sinusitis",Antibiotic,Sinusitis,,,,,,
Effects of zinc supplementation on the immune system and on antibody response to multivalent influenza vaccine in hemodialysis patients,Zinc,Influenza,,,,,,
Effects of zinc (Zn) supplementation on immune system and antibody response to multivalent influenza vaccine (MIV) in hemodialysis patients (HP),Zinc,Influenza,,,,,,
[Acute otitis media in children: A randomized open clinical trial of effectiveness of two major Antibiotic. (Erythromycin ethylsuccinate/acetyl-sulfafurazole versus amoxicillin/clavulanic acid)],Antibiotic vs antibiotic,OM,,,,,,
A randomized trial of two acellular pertussis vaccines (dTpa and pa) and a licenseddiptheria-tetanus vaccine (Td) in adults,Vaccination,tetanus,,,,,,
A randomized trial of two acellular pertussis vaccines (dTpa and pa) and a licenseddiptheria-tetanus vaccine (Td) in adults,Vaccination,pertussis,,,,,,
A randomized trial of two acellular pertussis vaccines (dTpa and pa) and a licenseddiptheria-tetanus vaccine (Td) in adults,Vaccination,diptheria,,,,,,
Effectiveness of clemastine fumarate for treatment of rhinorrhea and sneezing associated with the common cold,Antihistamine,Common cold,,,,,,
An evaluation of Echinacea angustifolia in experimental rhinovirus infections,CAM,Common cold,,,,,,
Effect of topical adrenergic decongestants on middle ear pressure in infants with common colds,Decongestant,OM,,,,,,
,,,,,,,,
Efficacy of oral WIN 54954 for prophylaxis of experimental rhinovirus infection,Antiviral,Common cold,,,,,,
Treatment of the Common coldwith troxerutin,Flavinoid,Common cold,,,,,,
"Efficacy of tremacamra, a soluble intercellular adhesion molecule 1, for experimental rhinovirus infection: a randomized clinical trial",Intracellular adhesion molecule,Common cold,,,,,,
Association between interleukin-8 concentration in nasal secretions and severity of symptoms of experimental rhinovirus colds,Pentoxifylline,Common cold,,,,,,
The impact of intranasal steroid as an adjunct to therapy for sinusitis,Corticosteroid,Sinusitis,,,,,,
"Immunogenicity and reactogenicity of a booster dose ofdiptheria, tetanus, acellular pertussis and inactivated poliomyelitis vaccines given concurrently with Haemophilus type b conjugate vaccine or as pentavalent vaccine",Vaccination,tetanus,,,,,,
"Immunogenicity and reactogenicity of a booster dose ofdiptheria, tetanus, acellular pertussis and inactivated poliomyelitis vaccines given concurrently with Haemophilus type b conjugate vaccine or as pentavalent vaccine",Vaccination,pertussis,,,,,,
"Immunogenicity and reactogenicity of a booster dose ofdiptheria, tetanus, acellular pertussis and inactivated poliomyelitis vaccines given concurrently with Haemophilus type b conjugate vaccine or as pentavalent vaccine",Vaccination,polio,,,,,,
"Immunogenicity and reactogenicity of a booster dose ofdiptheria, tetanus, acellular pertussis and inactivated poliomyelitis vaccines given concurrently with Haemophilus type b conjugate vaccine or as pentavalent vaccine",Vaccination,HiB,,,,,,
"Immunogenicity and reactogenicity of a booster dose ofdiptheria, tetanus, acellular pertussis and inactivated poliomyelitis vaccines given concurrently with Haemophilus type b conjugate vaccine or as pentavalent vaccine",Vaccination,diptheria,,,,,,
A trial of a group A plus group C meningococcal polysaccharide-protein conjugate vaccine in African infants,Vaccination,Meningococcal,,,,,,
An investigation into the effectiveness of physiotherapy in the treatment of patients with community-acquired pneumonia,Physiotherapy,CAP,,,,,,
"Acyclovir and prednisolone treatment of acute IM: a multicenter, double-blind, placebo-controlled study",Corticosteroid,IM,,,,,,
"Acyclovir and prednisolone treatment of acute IM: a multicenter, double-blind, placebo-controlled study",Antiviral,IM,,,,,,
,,,,,,,,
"Famciclovir for the treatment of acute herpes zoster: effects on acute disease and postherpetic neuralgia. A randomized, double-blind, placebo-controlled trial. Collaborative Famciclovir Herpes Zoster Study Group. [see comments.]",Antiviral,Herpes zoster,,,,,,
Local hyperthermia benefits natural and experimental common colds [published erratum appears in BMJ 1989 Sep 2;299(6699):600],Hyperthermia,Common cold,,,,,,
A trial of ascorbic acid in the treatment of the common cold,vitamin C,Common cold,,,,,,
The efficacy of switch therapy in community-acquired pneumonia in Japan. [Japanese],Switch therapy,CAP,,,,,,
Effects of functional training of dysphagia to prevent pneumonia for patients on tube feeding,Functional training of dysphagia,Pneumonia,,,,,,
Clinical and pharmacokinetic study of nimesulide in children,NSAID,URTI,,,,,,
Comparative reactogenicity and immunogenicity of booster doses ofdiptheria-tetanus-acellular pertussis-inactivated poliovirus vaccine anddiptheria-tetanus-inactivated poliovirus vaccine in preadolescents,Vaccination,tetanus,,,,,,
Comparative reactogenicity and immunogenicity of booster doses ofdiptheria-tetanus-acellular pertussis-inactivated poliovirus vaccine anddiptheria-tetanus-inactivated poliovirus vaccine in preadolescents,Vaccination,pertussis,,,,,,
Comparative reactogenicity and immunogenicity of booster doses ofdiptheria-tetanus-acellular pertussis-inactivated poliovirus vaccine anddiptheria-tetanus-inactivated poliovirus vaccine in preadolescents,Vaccination,polio,,,,,,
Comparative reactogenicity and immunogenicity of booster doses ofdiptheria-tetanus-acellular pertussis-inactivated poliovirus vaccine anddiptheria-tetanus-inactivated poliovirus vaccine in preadolescents,Vaccination,diptheria,,,,,,
Reactogenicity and tolerability of a non-adjuvanted 11-valentdiptheria-tetanus toxoid pneumococcal conjugate vaccine in Filipino children,Vaccination,tetanus,,,,,,
Reactogenicity and tolerability of a non-adjuvanted 11-valentdiptheria-tetanus toxoid pneumococcal conjugate vaccine in Filipino children,Vaccination,pertussis,,,,,,
Reactogenicity and tolerability of a non-adjuvanted 11-valentdiptheria-tetanus toxoid pneumococcal conjugate vaccine in Filipino children,Vaccination,pneumococcal,,,,,,
Reactogenicity and tolerability of a non-adjuvanted 11-valentdiptheria-tetanus toxoid pneumococcal conjugate vaccine in Filipino children,Vaccination,diptheria,,,,,,
Effect of prophylactic acetaminophen administration on reaction to DTP vaccination,Paracetamol,Post-vaccination fever,,,,,,
Xylitol chewing gum in prevention of acute otitis media: double blind randomised trial. [see comments.],Xylitol,OM,,,,,,
A novel use of xylitol sugar in preventing acute otitis media. [see comments.],Xylitol,OM,,,,,,
"Treatment of acute otitis media with an antiadhesive oligosaccharide: a randomised, double-blind, placebo-controlled trial. [see comments.]",antiadhesive oligosaccharide,OM,,,,,,
Selective decontamination of the digestive tract with norfloxacin in the prevention of ICU-acquired infections: a prospective randomized study,Antibiotic,ICU-acquired infections,,,,,,
"Assessment of the efficacy and safety of paracetamol, ibuprofen and nimesulide in children with upper respiratory tract infections",NSAID,URTI,,,,,,
"Assessment of the efficacy and safety of paracetamol, ibuprofen and nimesulide in children with upper respiratory tract infections",Paracetamol,URTI,,,,,,
Effectiveness of a combined live mumps-measles vaccine. [Russian],Vaccination,Measles,,,,,,
Effectiveness of a combined live mumps-measles vaccine. [Russian],Vaccination,Mumps,,,,,,
Prevention of colonization and respiratory infections in long-term ventilated patients by local antimicrobial prophylaxis,Antibiotic,ARI,,,,,,
"Is acetaminophen as effective as an antihistamine-decongestant-acetaminophen combination in relieving symptoms of acute nasopharyngitis in children? A randomised, controlled trial",antihistamine,Pharyngitis,,,,,,
"Is acetaminophen as effective as an antihistamine-decongestant-acetaminophen combination in relieving symptoms of acute nasopharyngitis in children? A randomised, controlled trial",decongestant,Pharyngitis,,,,,,
"Is acetaminophen as effective as an antihistamine-decongestant-acetaminophen combination in relieving symptoms of acute nasopharyngitis in children? A randomised, controlled trial",Paracetamol,Pharyngitis,,,,,,
Azelastine nasal spray and fluticasone nasal spray in the treatment of geriatric patients with rhinitis,Corticosteroid,Common Cold,,,,,,
Azelastine nasal spray and fluticasone nasal spray in the treatment of geriatric patients with rhinitis,Antihistamine,Common Cold,,,,,,
Randomized double-blind study comparing 7- and 10-day regimens of faropenem medoxomil with a 10-day cefuroxime axetil regimen for treatment of acute bacterial sinusitis,Antibiotic vs antibiotic,Sinusitis,,,,,,
Moxifloxacin versus levofloxacin against acute exacerbations of chronic bronchitis: the Latin American Cohort,Antibiotic vs antibiotic,bronchitis,,,,,,
,,,,,,,,
"Comparative study of reactogenicity and immunogenicity of new and established measles, mumps and rubella vaccines in healthy children. [see comments.]",Vaccination,mumps,,,,,,
"Comparative study of reactogenicity and immunogenicity of new and established measles, mumps and rubella vaccines in healthy children. [see comments.]",Vaccination,rubella,,,,,,
"Comparative study of reactogenicity and immunogenicity of new and established measles, mumps and rubella vaccines in healthy children. [see comments.]",Vaccination,Measles,,,,,,
,Vaccination,rubella,,,,,,
"Reactogenicity and immunogenicity of a new live attenuated combined measles, mumps and rubella vaccine in healthy children. [see comments.]",Vaccination,mumps,,,,,,
"Reactogenicity and immunogenicity of a new live attenuated combined measles, mumps and rubella vaccine in healthy children. [see comments.]",Vaccination,Measles,,,,,,
Immunogenicity and reactogenicity of a combined DTPw-hepatitis B vaccine in Lithuanian infants,Vaccination,tetanus,,,,,,
Immunogenicity and reactogenicity of a combined DTPw-hepatitis B vaccine in Lithuanian infants,Vaccination,pertussis,,,,,,
Immunogenicity and reactogenicity of a combined DTPw-hepatitis B vaccine in Lithuanian infants,Vaccination,Hepatitis,,,,,,
Immunogenicity and reactogenicity of a combined DTPw-hepatitis B vaccine in Lithuanian infants,Vaccination,diptheria,,,,,,
"A double-blind, placebo-controlled evaluation of ribavirin in the treatment of acute measles",Antiviral,Measles,,,,,,
Effectiveness and safety of an Haemophilus influenzae type b conjugate vaccine (PRP-T) in young infants,Vaccination,HiB,,,,,,
Use of flurythromycin ethylsuccinate in infections of lower airways due to sensitive germs: multicenter comparative study with clarithromycin,Antibiotic vs antibiotic,LRTI,,,,,,
,,,,,,,,
Efficacy of twice-daily dosing of amoxycillin/clavulanate in acute otitis media in children,Antibiotic,OM,,,,,,
Immunogenicity of a 23-valent pneumococcal polysaccharide vaccine in elderly residents of a long-term care facility,Vaccination,Pneumococcal,,,,,,
,,,,,,,,
Chloraseptic liquid in sore throat,antiseptic,Pharyngitis,,,,,,
Continuous aspiration of subglottic secretions in preventing ventilator-associated pneumonia. [see comments.],Aspiration of subglottic secretions,VAP,,,,,,
Comparison of amoxycillin given two and three times a day in acute respiratory tract infections in children,Antibiotic,ARI,,,,,,
Double-blind randomised trial of co-amoxiclav versus placebo for persistent otitis media with effusion in general practice. [see comments.],Antibiotic vs Antibiotic,OM,,,,,,
"Acute otitis media: Paracentesis, Antibiotic or neither? [Dutch]",Antibiotic,OM,,,,,,
"Acute otitis media: Paracentesis, Antibiotic or neither? [Dutch]",Paracentesis,OM,,,,,,
"Therapy of acute otitis media: myringotomy, Antibiotic, or neither? A double-blind study in children",Antibiotic,OM,,,,,,
"Therapy of acute otitis media: myringotomy, Antibiotic, or neither? A double-blind study in children",Myringotomy,OM,,,,,,
"Bronchiolitis: A pilot study of osteopathic manipulative treatment, bronchodilators, and other therapy",Bronchodilator,Bronchiolitis,,,,,,
"Bronchiolitis: A pilot study of osteopathic manipulative treatment, bronchodilators, and other therapy",CAM,Bronchiolitis,,,,,,
,,,,,,,,
[No benefit of antibiotic treatment in acute maxillary sinusitis: A randomized double-blind placebo-controlled study],Antibiotic,Sinusitis,,,,,,
Acute otitis media: a new treatment strategy,Antibiotic,OM,,,,,,
Acute otitis media: a new treatment strategy,Analgesia,OM,,,,,,
Acute otitis media: a new treatment strategy,Nose drops,OM,,,,,,
Acute otitis media: a new treatment strategy,Myringotomy,OM,,,,,,
Adiptheria-tetanus-acellular pertussis (dTpa) vaccine for adults (abstract),Vaccination,tetanus,,,,,,
Adiptheria-tetanus-acellular pertussis (dTpa) vaccine for adults (abstract),Vaccination,pertussis,,,,,,
Adiptheria-tetanus-acellular pertussis (dTpa) vaccine for adults (abstract),Vaccination,diptheria,,,,,,
Safety and efficacy of a novel microneedle device for dose sparing intradermal influenza vaccination in healthy adults,Vaccination,Influenza,,,,,,
Sequential therapy with cefuroxime followed by cefuroxime axetil in community-acquired pneumonia,Antibiotic,CAP,,,,,,
Limited value of acyclovir in the treatment of uncomplicated herpes zoster: A placebo-controlled study,Antiviral,Herpes zoster,,,,,,
Bactericidal titers of loracarbef (LY 163892) in serum and killing rates in volunteers receiving 400 versus 200 milligrams,Antibiotic,Strep pyogenes,,,,,,
Bactericidal titers of loracarbef (LY 163892) in serum and killing rates in volunteers receiving 400 versus 200 milligrams,Antibiotic,HiB,,,,,,
Bactericidal titers of loracarbef (LY 163892) in serum and killing rates in volunteers receiving 400 versus 200 milligrams,Antibiotic,S. pneumoniae,,,,,,
"Double-blind, placebo-controlled study of oxacillin combined with rifampin in the treatment of staphylococcal infections",Antibiotic vs antibiotic,Staphylococcal,,,,,,
Comparison between pathogen directed antibiotic treatment and empirical broad spectrum antibiotic treatment in patients with community acquired pneumonia: a prospective randomised study,Antibiotic vs antibiotic,CAP,,,,,,
Rimantadine (RIM) effect on specific serum hemagglutination inhibition (S-HI) and nasal IgA (N-IgA) antibodies in experimental influenza (Flu) virus exposure of adults [abstract],Antiviral,Influenza,,,,,,
Favorable effect of dexamethasone in adults with acute bacterial meningitis; a randomized placebo-controlled study [5],Corticosteroid,Meningitis,,,,,,
Lack of effect of peroral acyclovir for the treatment of acute IM,Antiviral,IM,,,,,,
Plasma carotenoid concentrations in relation to acute respiratory infections in elderly people,Carotenoids,ARI,,,,,,
Cefsulodin for the treatment of Pseudomonas infections--a study comparing cefsulodin and ticarcillin,Antibiotic vs antibiotic,Pseudomonas,,,,,,
"Effectiveness of trimethoprim/sulfamethoxazole for children with chronic active otitis media: a randomized, placebo-controlled trial",Antibiotic,OM,,,,,,
Homotypic and Heterotypic Antibody Response in Infants to Adenovirus Vaccine,Vaccination,Adenovirus,,,,,,
A randomised controlled trial with adiptheria-tetanus-acellular pertussis (dTpa) vaccine in adults,Vaccination,tetanus,,,,,,
A randomised controlled trial with adiptheria-tetanus-acellular pertussis (dTpa) vaccine in adults,Vaccination,pertussis,,,,,,
A randomised controlled trial with adiptheria-tetanus-acellular pertussis (dTpa) vaccine in adults,Vaccination,diptheria,,,,,,
A double-blind pediatric evaluation of levamisole in the prevention of recurrent upper respiratory tract infections,Antihelmenthic,URTI,,,,,,
A double-blind pediatric evaluation of levamisole in the prevention of recurrent upper respiratory tract infections,immunomodulator,URTI,,,,,,
Levamisole in prevention of recurrent upper-respiratory-tract infections in children,Antihelmenthic,URTI,,,,,,
Levamisole in prevention of recurrent upper-respiratory-tract infections in children,immunomodulator,URTI,,,,,,
Comparative efficacy of combined nebulized salbutamol with ipratropium bromide and nebulized adrenaline to treat children with acute bronchiolitis,bronchodilator,anticholinergic,,,,,,
Comparative efficacy of combined nebulized salbutamol with ipratropium bromide and nebulized adrenaline to treat children with acute bronchiolitis,bronchodilator,Bronchiolitis,,,,,,
New zoster treatment. Can aciclovir be improved?,Antiviral,Herpes zoster,,,,,,
Acute otitis media caused by Branhamella catarrhalis: biology and therapy,Antibiotic,OM,,,,,,
The effect of combined pneumococcal conjugate and polysaccharide vaccination on recurrent otitis media with effusion: preliminary results,Vaccination,OM,,,,,,
Effect of combined pneumococcal conjugate and polysaccharide vaccination on recurrent otitis media with effusion,Vaccination,OM,,,,,,
,,,,,,,,
Pneumococcal conjugate vaccination in children with recurrent acute otitis media: a therapeutic alternative?,Vaccination,OM,,,,,,
Teicoplanin compared with vancomycin in methicillin-resistant Staph aureus infections: preliminary results,Antibiotic vs antibiotic,MRSA,,,,,,
Feasibility and effects of the semirecumbent position to prevent ventilator-associated pneumonia: a randomized study,Positioning,VAP,,,,,,
Influence of amoxycillin and cefaclor on the colonization resistance of oropharynx,Antibiotic vs antibiotic,RTI,,,,,,
"Preventing the Common coldwith a vitamin C supplement: a double-blind, placebo-controlled survey",Vitamin C,Common cold,,,,,,
Characterization and clinical evaluation of live influenza A vaccine prepared from a recombinant of the A/USSR/92/77 (Hsub 1Nsub 1) and the cold-adapted A/Ann Arbor/6/60(Hsub 2Nsub 2) strains,Vaccination,Influenza,,,,,,
Adverse effects and sero-responses to an acellular pertussis/Diptheria/tetanus vaccine when combined with Haemophilus influenzae type b vaccine in an accelerated schedule,Vaccination,tetanus,,,,,,
Adverse effects and sero-responses to an acellular pertussis/Diptheria/tetanus vaccine when combined with Haemophilus influenzae type b vaccine in an accelerated schedule,Vaccination,pertussis,,,,,,
Adverse effects and sero-responses to an acellular pertussis/Diptheria/tetanus vaccine when combined with Haemophilus influenzae type b vaccine in an accelerated schedule,Vaccination,diptheria,,,,,,
Successful treatment of naturally occurring influenza A/USSR/77 H1N1,Vaccination,Influenza,,,,,,
Serological diagnosis of influenza A/USSR/77 H1N1 infection: value of ELISA compared to other antibody techniques,HAI,Influenza,,,,,,
Serological diagnosis of influenza A/USSR/77 H1N1 infection: value of ELISA compared to other antibody techniques,CF ,Influenza,,,,,,
Serological diagnosis of influenza A/USSR/77 H1N1 infection: value of ELISA compared to other antibody techniques,ELISA,Influenza,,,,,,
Long-term effects of prednisolone in the acute phase of bronchiolitis caused by respiratory syncytial virus,Corticosteroid,RSV,,,,,,
Long-term effects of prednisolone in the acute phase of bronchiolitis caused by respiratory syncytial virus,Corticosteroid,Bronchiolitis,,,,,,
Effect of dexamethasone on tracheal viral load and interleukin-8 tracheal concentration in children with respiratory syncytial virus infection,Corticosteroid,RSV,,,,,,
Dexamethasone for treatment of patients mechanically ventilated for lower respiratory tract infection caused by respiratory syncytial virus,Corticosteroid,ARI,,,,,,
Dexamethasone for treatment of patients mechanically ventilated for lower respiratory tract infection caused by respiratory syncytial virus,Corticosteroid,LRTI,,,,,,
Randomised double blind placebo controlled trial of prednisolone in children admitted to hospital with respiratory syncytial virus bronchiolitis. [see comments.],Corticosteroid,RSV,,,,,,
Randomised double blind placebo controlled trial of prednisolone in children admitted to hospital with respiratory syncytial virus bronchiolitis. [see comments.],Corticosteroid,Bronchiolitis,,,,,,
"Cefditoren pivoxil versus cefpodoxime proxetil for community-acquired pneumonia: results of a multicenter, prospective, randomized, double-blind study",Antibiotic vs antibiotic,CAP,,,,,,
Comparison of pefloxacin with ceftazidime in severe bronchopulmonary infections,Antibiotic vs antibiotic,LRTI,,,,,,
Study of pertussis vaccines in infants: comparison of response to acellular pertussis DTP vaccines containing 25 micrograms of FHA and either 25 or 8 micrograms of PT with response to whole-cell pertussis DTP vaccine,Vaccination,Pertussis,,,,,,
[Erythromycin in the treatment of pneumonia in children: comparative study],Antibiotic,Pneumonia,,,,,,
"Effect of combination with an acellular pertussis,diptheria, tetanus vaccine on antibody response to Hib vaccine (PRP-T)",Vaccination,tetanus,,,,,,
"Effect of combination with an acellular pertussis,diptheria, tetanus vaccine on antibody response to Hib vaccine (PRP-T)",Vaccination,pertussis,,,,,,
"Effect of combination with an acellular pertussis,diptheria, tetanus vaccine on antibody response to Hib vaccine (PRP-T)",Vaccination,HiB,,,,,,
"Effect of combination with an acellular pertussis,diptheria, tetanus vaccine on antibody response to Hib vaccine (PRP-T)",Vaccination,Diptheria,,,,,,
Efficacy of high-titer live attenuated varicella vaccine in healthy young children,Vaccination,Varicella Zoster,,,,,,
Treatment of acute rhinosinusitis diagnosed by clinical criteria or ultrasound in primary care: A placebo-controlled randomised trial,Antibiotic,Common Cold,,,,,,
Implementing guidelines on acute maxillary sinusitis in general practice--a randomized controlled trial,Guidelines,Sinusitis,,,,,,
Inhaled thiamphenicol and acetylcysteine in children with acute bacterial rhinopharyngitis,Acetylcysteine,Pharyngitis,,,,,,
Inhaled thiamphenicol and acetylcysteine in children with acute bacterial rhinopharyngitis,Antibiotic,Pharyngitis,,,,,,
Single intramuscular dose of ceftriaxone as compared to 7-day amoxicillin therapy for acute otitis media in children. A double-blind clinical trial,Antibiotic vs antibiotic,OM,,,,,,
Intramuscular ceftriaxone compared with oral amoxicillin-clavulanate for treatment of acute otitis media in children,Antibiotic vs antibiotic,OM,,,,,,
Sulfisoxazole prophylaxis of middle ear effusion and recurrent acute otitis media,Antibiotic,OM,,,,,,
[Assessment of the prophylactic effectiveness of an inactivated influenza vaccine by immunizing schoolchildren in the springtime]. [Russian],Vaccination,Influenza,,,,,,
Immunologic studies of specific mucosal and systemic immune responses in Mexican school children after booster aerosol or subcutaneous immunization with measles vaccine,Vaccination,Measles,,,,,,
"[Evaluation of the safety, reactogenicity and antigenic activity of inactivated chromatographic influenza vaccine in school children]. [Russian]",Vaccination,Influenza,,,,,,
[Characteristics of the clinical and immunologic safety of inactivated influenza vaccines in children undergoing multiple immunizations],Vaccination,Influenza,,,,,,
"Prevention of recurrent ear, nose, and throat infections in young children with Ribomunyl (R) double-blind, placebo-controlled study",Immunostimulant,URTI,,,,,,
Nasopharyngeal pneumococcal carriage after combined pneumococcal conjugate and polysaccharide vaccination in children with a history of recurrent acute otitis media,Vaccination,OM,,,,,,
Clinical ineffectiveness of combined vaccination with 7-valent pneumococcal conjugate vaccine and 23-valent pneumococcal polysaccharide vaccine in children with recurrent acute otitis media; a randomised double-blind study,Vaccination,OM,,,,,,
